deviation_id,lot_id,category,severity,description,opened_at,closed_at,capa_flag,assignee,root_cause
DEV00001,OCT1001,OOS_Result,Minor,"OOS result: protein_mg_ml = 6.9694 mg/ml (LSL:7.0, USL:10.0)",2023-01-04 08:00:00,2023-01-30 08:00:00,1,QA_Invest_2,Method
DEV00001,OCT1002,OOS_Result,Minor,"OOS result: assay_percent = 82.5915 % (LSL:95.0, USL:110.0)",2023-01-03 13:00:00,2023-01-30 13:00:00,1,QA_Invest_2,Material
DEV00001,FIB1003,OOS_Result,Major,"OOS result: fill_volume_ml = 8.8236 ml (LSL:9.5, USL:10.5)",2023-01-02 05:00:00,2023-03-13 05:00:00,1,MSAT_Lead,Material
DEV00001,OCT1005,OOS_Result,Minor,"OOS result: pH = 6.607 pH (LSL:6.9, USL:7.4)",2023-01-03 19:00:00,2023-02-25 19:00:00,1,MSAT_Lead,Equipment
DEV00001,OCT1005,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 267.1538 mOsm/kg (LSL:270.0, USL:320.0)",2023-01-04 08:00:00,2023-02-03 08:00:00,0,QA_Invest_2,Under_Investigation
DEV00001,OCT1006,OOS_Result,Minor,"OOS result: assay_percent = 88.0385 % (LSL:95.0, USL:110.0)",2023-01-03 15:00:00,2023-03-03 15:00:00,0,MSAT_Lead,Material
DEV00001,OCT1010,OOS_Result,Minor,"OOS result: fill_volume_ml = 11.2883 ml (LSL:9.5, USL:10.5)",2023-01-04 23:00:00,2023-03-14 23:00:00,0,MSAT_Lead,Method
DEV00001,OCT1011,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 266.819 mOsm/kg (LSL:270.0, USL:320.0)",2023-01-07 01:00:00,2023-02-07 01:00:00,1,QA_Invest_3,Environment
DEV00001,OCT1012,OOS_Result,Minor,"OOS result: assay_percent = 111.8843 % (LSL:95.0, USL:110.0)",2023-01-05 17:00:00,2023-03-08 17:00:00,1,QA_Invest_3,Material
DEV00001,OCT1017,OOS_Result,Minor,"OOS result: protein_mg_ml = 10.2524 mg/ml (LSL:7.0, USL:10.0)",2023-01-08 22:00:00,2023-02-02 22:00:00,0,QA_Manager,Method
DEV00001,OCT1023,OOS_Result,Minor,"OOS result: protein_mg_ml = 10.0174 mg/ml (LSL:7.0, USL:10.0)",2023-01-11 15:00:00,2023-03-04 15:00:00,0,QA_Manager,Equipment
