lot_id,product,line,lot_start_date,planned_release_date,disposition_date,status,batch_size_L,campaign_id
OCT1000,octanate,Line_B,2023-01-01,2023-01-12,2023-01-13,Released,709,CAMP_2023_01
OCT1001,octanate_LV,Line_B,2023-01-01,2023-01-14,2023-01-18,Released,947,CAMP_2023_01
OCT1002,octanate_LV,Line_C,2023-01-01,2023-01-17,2023-01-23,Released,1966,CAMP_2023_01
FIB1003,fibryga,Line_C,2023-01-01,2023-01-17,2023-01-18,Released,826,CAMP_2023_01
OCT1004,octanate,Line_B,2023-01-02,2023-01-11,2023-01-13,Released,709,CAMP_2023_01
OCT1005,octanate,Line_C,2023-01-02,2023-01-10,2023-01-10,Released,1736,CAMP_2023_01
OCT1006,octanate_LV,Line_A,2023-01-02,2023-01-09,2023-01-07,Released,1275,CAMP_2023_01
OCT1007,octanate_LV,Line_B,2023-01-02,2023-01-13,2023-01-13,Released,1682,CAMP_2023_01
OCT1008,octanate_LV,Line_C,2023-01-02,2023-01-10,2023-01-16,Released,1092,CAMP_2023_01
OCT1009,octanate,Line_A,2023-01-03,2023-01-17,2023-01-17,Released,833,CAMP_2023_01
OCT1010,octanate,Line_B,2023-01-03,2023-01-13,2023-01-11,Released,1747,CAMP_2023_01
OCT1011,octanate_LV,Line_B,2023-01-03,2023-01-17,2023-01-16,Released,1902,CAMP_2023_01
OCT1012,octanate_LV,Line_C,2023-01-03,2023-01-10,2023-01-11,Released,1146,CAMP_2023_01
FIB1013,fibryga,Line_B,2023-01-03,2023-01-19,2023-01-19,Released,935,CAMP_2023_01
OCT1014,octanate,Line_A,2023-01-04,2023-01-18,2023-01-23,Released,1005,CAMP_2023_01
FIB1015,fibryga,Line_A,2023-01-04,2023-01-13,2023-01-11,Released,596,CAMP_2023_01
FIB1016,fibryga,Line_C,2023-01-04,2023-01-13,2023-01-14,Released,1721,CAMP_2023_01
OCT1017,octanate,Line_A,2023-01-05,2023-01-18,2023-01-19,Released,1583,CAMP_2023_01
OCT1018,octanate,Line_B,2023-01-05,2023-01-20,2023-01-18,Released,1893,CAMP_2023_01
OCT1019,octanate_LV,Line_C,2023-01-05,2023-01-17,2023-01-26,Released,823,CAMP_2023_01
OCT1020,octanate,Line_A,2023-01-06,2023-01-21,2023-01-19,Released,1780,CAMP_2023_01
OCT1021,octanate,Line_B,2023-01-06,2023-01-21,2023-01-20,Released,1265,CAMP_2023_01
FIB1022,fibryga,Line_A,2023-01-06,2023-01-18,2023-01-16,Released,1243,CAMP_2023_01
