test_id,lot_id,product,line,test_name,sample_date,result_date,review_date,result_value,unit,lsl,usl,oos_flag,reviewer,status,method_id,instrument_id
T0000001,OCT1000,octanate,Line_B,assay_percent,2023-01-01 12:00:00,2023-01-01 14:00:00,2023-01-02 07:00:00,103.8908,%,95.0,110.0,0,QC_Analyst_C,Under_Review,MASS_001,INST_02
T0000002,OCT1000,octanate,Line_B,pH,2023-01-01 18:00:00,2023-01-02 02:00:00,2023-01-02 23:00:00,7.1389,pH,6.9,7.4,0,QC_Analyst_C,Reviewed,MPH_001,INST_01
T0000003,OCT1000,octanate,Line_B,osmolality_mOsm_kg,2023-01-01 21:00:00,2023-01-02 20:00:00,2023-01-03 06:00:00,298.4421,mOsm/kg,270.0,320.0,0,QC_Analyst_B,Reviewed,MOSM_001,INST_01
T0000004,OCT1000,octanate,Line_B,fill_volume_ml,2023-01-01 16:00:00,2023-01-01 19:00:00,2023-01-02 11:00:00,10.2785,ml,9.5,10.5,0,QC_Senior_1,Reviewed,MFIL_001,INST_01
T0000005,OCT1000,octanate,Line_B,particulates_per_ml,2023-01-02 03:00:00,2023-01-03 18:00:00,2023-01-04 10:00:00,23.1268,count/ml,0.0,50.0,0,QC_Senior_1,Under_Review,MPAR_001,INST_03
T0000006,OCT1000,octanate,Line_B,endotoxin_eu_ml,2023-01-01 13:00:00,2023-01-02 11:00:00,2023-01-03 01:00:00,0.1383,EU/ml,0.0,0.5,0,QC_Lead,Reviewed,MEND_001,INST_01
T0000007,OCT1000,octanate,Line_B,protein_mg_ml,2023-01-01 16:00:00,2023-01-02 21:00:00,2023-01-03 17:00:00,9.7634,mg/ml,7.0,10.0,0,QC_Lead,Reviewed,MPRO_001,INST_02
T0000001,OCT1001,octanate_LV,Line_B,assay_percent,2023-01-01 14:00:00,2023-01-01 19:00:00,2023-01-02 02:00:00,104.6488,%,95.0,110.0,0,QC_Analyst_A,Reviewed,MASS_001,INST_02
T0000002,OCT1001,octanate_LV,Line_B,pH,2023-01-01 18:00:00,2023-01-01 22:00:00,2023-01-02 08:00:00,7.1124,pH,6.9,7.4,0,QC_Senior_2,Reviewed,MPH_001,INST_03
T0000003,OCT1001,octanate_LV,Line_B,osmolality_mOsm_kg,2023-01-02 03:00:00,2023-01-03 14:00:00,2023-01-03 15:00:00,297.1806,mOsm/kg,270.0,320.0,0,QC_Senior_1,Reviewed,MOSM_001,INST_02
T0000004,OCT1001,octanate_LV,Line_B,fill_volume_ml,2023-01-01 11:00:00,2023-01-01 13:00:00,2023-01-01 14:00:00,9.9805,ml,9.5,10.5,0,QC_Analyst_C,Reviewed,MFIL_001,INST_05
T0000005,OCT1001,octanate_LV,Line_B,particulates_per_ml,2023-01-01 14:00:00,2023-01-03 04:00:00,2023-01-04 01:00:00,21.2742,count/ml,0.0,50.0,0,QC_Senior_2,Reviewed,MPAR_001,INST_03
T0000006,OCT1001,octanate_LV,Line_B,endotoxin_eu_ml,2023-01-01 14:00:00,2023-01-03 04:00:00,2023-01-04 03:00:00,0.1621,EU/ml,0.0,0.5,0,QC_Senior_2,Reviewed,MEND_001,INST_01
T0000007,OCT1001,octanate_LV,Line_B,protein_mg_ml,2023-01-01 20:00:00,2023-01-03 02:00:00,2023-01-03 15:00:00,6.9694,mg/ml,7.0,10.0,1,QC_Senior_2,Reviewed,MPRO_001,INST_05
T0000001,OCT1002,octanate_LV,Line_C,assay_percent,2023-01-01 18:00:00,2023-01-01 22:00:00,2023-01-02 15:00:00,82.5915,%,95.0,110.0,1,QC_Lead,Reviewed,MASS_001,INST_01
T0000002,OCT1002,octanate_LV,Line_C,pH,2023-01-01 11:00:00,2023-01-01 19:00:00,2023-01-02 10:00:00,7.105,pH,6.9,7.4,0,QC_Senior_2,Reviewed,MPH_001,INST_03
T0000003,OCT1002,octanate_LV,Line_C,osmolality_mOsm_kg,2023-01-01 19:00:00,2023-01-03 17:00:00,2023-01-04 15:00:00,278.5159,mOsm/kg,270.0,320.0,0,QC_Lead,Reviewed,MOSM_001,INST_04
T0000004,OCT1002,octanate_LV,Line_C,fill_volume_ml,2023-01-01 06:00:00,2023-01-01 08:00:00,2023-01-01 18:00:00,10.0971,ml,9.5,10.5,0,QC_Analyst_A,Reviewed,MFIL_001,INST_03
T0000005,OCT1002,octanate_LV,Line_C,particulates_per_ml,2023-01-01 21:00:00,2023-01-02 12:00:00,2023-01-03 06:00:00,0.0,count/ml,0.0,50.0,0,QC_Analyst_B,Reviewed,MPAR_001,INST_05
T0000006,OCT1002,octanate_LV,Line_C,endotoxin_eu_ml,2023-01-01 12:00:00,2023-01-02 09:00:00,2023-01-03 04:00:00,0.0794,EU/ml,0.0,0.5,0,QC_Lead,Reviewed,MEND_001,INST_02
T0000007,OCT1002,octanate_LV,Line_C,protein_mg_ml,2023-01-02 04:00:00,2023-01-03 11:00:00,2023-01-04 05:00:00,9.6725,mg/ml,7.0,10.0,0,QC_Analyst_C,Reviewed,MPRO_001,INST_01
T0000001,FIB1003,fibryga,Line_C,assay_percent,2023-01-01 16:00:00,2023-01-01 21:00:00,2023-01-02 15:00:00,101.8678,%,95.0,110.0,0,QC_Analyst_B,Reviewed,MASS_001,INST_02
T0000002,FIB1003,fibryga,Line_C,pH,2023-01-01 15:00:00,2023-01-01 22:00:00,2023-01-02 09:00:00,7.1554,pH,6.9,7.4,0,QC_Analyst_C,Reviewed,MPH_001,INST_05
T0000003,FIB1003,fibryga,Line_C,osmolality_mOsm_kg,2023-01-01 18:00:00,2023-01-02 15:00:00,2023-01-03 15:00:00,273.5729,mOsm/kg,270.0,320.0,0,QC_Analyst_B,Reviewed,MOSM_001,INST_02
